wallet_address,player_name,actual_royal_favor,gold_value,main_pot_share,chain,day_one_cashout_npc_kills,day_two_cashout_npc_kills,day_three_cashout_npc_kills,day_four_cashout_npc_kills,day_five_cashout_npc_kills
0xcF08fa66Ac1d7bdC1fCFaDf51013a8562Bc89A1f,Veiga-KGeN,6001527,25094,0.02336831,blast,,,,,
0xd9D92cFDff13bde7865D79fa4cA6ac45912B8b23,KyoInfinity,3942178,201501,0.01558784,ronin,1,,,,
0xcdC718F6c9FD89A6c89e0e30f73510D529AFd9e4,Imaniki,1005672,16623124,0.01407249,blast,,,,,
0x684718C56b8D35866c48cCebec69Cd26C9132DC2,90xGGG-357,3417430,70390,0.01371582,blast,3,,,,
0xA86Cc3Da65D94c6CF03D341Dd1A48815EA664965,WBT-武威侯大将军,3269400,650805,0.01311954,blast,,,,,
0x106e83658FdbbF259833c8dE958301310a841997,Vinhdeptrai,3240887,22147,0.01270542,ronin,,26,,,
0xe56B405dF56FF23c233f6191866075756D68C9B4,MEPOxMEPO,1903193,3781508,0.00971672,blast,,,,,
0xb4D92a48F905450Cb00B54C5BD3ff6e6CC0C72f5,HCO_jackhauteville,2338785,62734,0.00913895,blast,,,,,
0xb85B88227fE1c47DF8f6A366BC0ed99B466F4a74,CN-CHAN,1778668,1039407,0.00793134,blast,3,,,,
0x2c1e712fC1609e1058337a39bC6D14EF4AF7DcbB,90xGGGLuuu,1656426,99539,0.00650627,ronin,,,,,
0xe33f1860Eb6B335F0F961c95952e29941D09b5f7,divers,814771,4631040,0.00623755,blast,1,,7,,13
0x0aCFda6d3dc527fc267f4117A0328c85A1D6683C,HCO_Bricked,1462171,526772,0.00606823,blast,,,,2,
0xd8155b44C1487F7533279b27C6758931f5a91743,paperok.eth,448508,6827037,0.00591757,blast,,,,,
0x532323481D24216ca8dB9122D92bED5BdBc41Df5,a1chemist.eth,188530,7063729,0.00513193,ronin,,,,,14
0x2b8ED88Ce5eF8D8D29fB5F1C14dEe0eF6A97cF82,BOSSddtDD,178970,99532,0.00509766,ronin,,,,153,
0xA839793E705670EF0b08D3D931CC48604c569a58,SIsha,440210,4893087,0.00492808,blast,1,32,,,
0x9C5e2dfCae4827bEf264e7a1C4fCf861674f7ADF,JosepRustMANA,1220420,64777,0.00486325,blast,,24,,,
0xB56A69894Eb3Bc01A949618F695F9FB752C60740,PK_Kennii,953193,1648077,0.00471626,blast,,,,,
0xF9265c697096c2200dfA3F186bc451Ebb66e7208,fabubusky,67901,99220,0.00412127,blast,,,731,,
0xe84b8fc6a88cDEf4000F62aE38687B9C53b18c01,HCOXINZHAO,785535,980506,0.00402468,blast,,,,13,
0xDA8d95Cdf11792975190F8b1D6E5431746c71926,Shaz,630277,1188015,0.00367857,blast,4,,,,
0x6ef197056205D6Df85827d8cB46cF17078EcfB72,Ylzenmain,115644,103228,0.00357691,ronin,,,,108,
0x3E75074992276b5ea08D678009691fA949243199,TuanVangOMG,880314,78135,0.00350437,ronin,,10,,,
0x89a0e9826B56e147Fcd59c4B4D561E53Fb2CD5C7,cryptochkn,428407,2772863,0.00348664,blast,1,,,,
0x5506D7162F35c8722d1DA5e3e0e98EFb737a46EF,zFeniksz,299694,2919975,0.00320071,blast,2,,,,
0x68838d42b3DA464F115Bc0EE1f2D58E1195002Fa,euphoria,813750,31681,0.00318580,blast,,,,,
0xf1a157201263Afd6a2050ec1caa40D102bF516AA,90xGGG-Fastped,76829,4692282,0.00316665,ronin,,,,,
0xd6418502e12FF5035da103BA803b20a3DE62db3e,Rogy,712278,175535,0.00300387,blast,1,,,,
0x3758b62670D30e95d2a7d9a835267569b0813E8b,Chuckz,736687,52530,0.00289868,blast,,,,,
0xb4d0D99Cc5b7B6ba5E0FAd666668D9678405C566,Lambada,210353,3066264,0.00281747,blast,1,,,,
0xb915b1440A493c121F1047E4572b85C21B156F29,akimmsl,572285,717889,0.00279920,blast,,,,,23
0x74aC45c146bcAA47A227C87a32860eb8aC3e57C4,HCO_Ribbon,427008,1583892,0.00277140,blast,,,,5,
0xe7e48d6E53e3D369e1E0Eb8e830E35B78E0F2b44,sabaka137,509395,1225041,0.00273083,blast,,,,,
0x71367F0A6F44b25e9C73b48F952F17B5F227b6c7,trusteg.eth,273505,381287,0.00269015,blast,,10,,48,
0x26968956870fEF85086F06b7d221314581153215,Panda-PK,523353,152235,0.00262949,blast,4,,,,
0x449c10EfE5244b815404aea2875176d37b18C750,TGGShof,632164,275001,0.00262793,ronin,,,,,
0xA6c08793d96155710d7755B5E879c1324C98492f,Elghost01,125484,3163454,0.00250876,ronin,,,,,15
0x85f28245a3Df0aB40d86a2A96ea5aB064153F8b9,AiR0,72495,127391,0.00248761,ronin,,,,75,
0xcb1F1cc399a793a9B928602f8fbedddd922466D3,dwwqdwqddwqq,496710,766850,0.00247696,blast,,,,,13
0x9c81235B2fDa4687e0159b19F56E835712ab0A8A,Buffet,81464,201022,0.00233546,blast,,,365,,
0x9B138E61bc913654132CA6a0e1571fECe0f5B570,ProoflolCFOP,535668,307867,0.00231900,blast,,,,,8
0x057E23daEEaC573E99654c751ca2F0ead65656e2,Kizukin,171675,35354,0.00231285,ronin,3,,,44,
0x91e6611C36afa3eE3cC80C3f9Fdcb3bF4Cd9097D,HCO_Devil,496955,601912,0.00230160,blast,,,,,
0xA4A4d61f63D909421679738F0262b52534dFC467,HCO_Deep,428866,767779,0.00226302,blast,1,,,,
0x95359F8Af2B02F5576a35558C9f3998b926802b5,鱼骨头,489935,579750,0.00226074,blast,,,,,
0x8d77b991517610bF60273F64c50de8e1E131C664,MalyukSigma,154808,5736,0.00218479,blast,9,,,16,
0x5cb4fd4A2e32e6C3A7Ada40E1a63d2C701b3d94F,Y0net_BALAGAN,474057,350156,0.00214374,blast,,,,3,
0x45055Ba40a3d984D2E47aD50Ed96e4e121E8CD80,Chelban,525747,61139,0.00214123,blast,,,,,10
0xFB3AeF68Bd15f38c51D24c6c62afb8385cea7177,HCO_Matti,301188,152540,0.00214020,blast,7,,,,
0xD46bF0a413dAa638d66517D7b183D1107BCd62E3,hah,248617,1808811,0.00213677,blast,,,,,11
0x7345F247AEB172b1D476279822E5d93Ec80400A9,7ojo,188958,96840,0.00208770,blast,,,230,,17
0x345F0eF28c4bCE193775CD28bc8900852A7fF960,WBT-zhibaobao,474764,378929,0.00207897,blast,,,,,
0x74Da3101a47C8dAcef84819e8Bf9C99e5257da67,kkkastor1des,157776,1046245,0.00205388,blast,3,,,15,
0xE71A7D463F78B5b3e7c2F340E7e3AAEf7Ea4B60F,Abra,321537,92694,0.00203372,blast,,218,,,8
0x4a6d9CC52a4Cc93C6F7C76385a490D9bb0Da6844,HANZWAR_BALAGAN,479275,98903,0.00192539,blast,,,,,
0x2b2248E158Bfe5710b82404b6Af9ceD5aE90b859,0xdecemberrr.eth,471664,135084,0.00191788,blast,,,,,
0xa98c907A585E88f6158979b48a2b8BBed8935A9e,Nezumin,397087,606993,0.00191610,ronin,,,,,
0x3262172701Fb53d25412d225513D825BB436dF7d,Nor4eG,361045,570980,0.00187884,blast,1,,,,
0x0013C6CE6e41B0AE6b71c2bE0E90532112e15c2D,HCO_gogi,433958,50154,0.00186110,blast,,,,5,
0x4017e8dF4369bf7c09D62F3d994230167aeB6ee0,Codebrew,252452,41942,0.00181606,blast,6,,,,10
0x06A58cEe95826AcDC505920F52A4B1aE86473A8e,Perigoso,131973,6834,0.00179010,ronin,,,245,,
0x70350B3b53987393c5AdD98C0d08698a0aE3dD4C,Maxon4ikkk,376956,286547,0.00174648,blast,,,,,18
0x62db2e9CcD5Ad4886D52ee3AE946537d5F65EeBd,Phamvanduc17,381606,222314,0.00174231,ronin,,39,,,
0x639Abd4063DC53c700CF999e16aC044198C5DaF2,Morgan,306326,890247,0.00173604,blast,,,,,
0x606d12eD6dff913BdEb5E03b0349dEC6054089DC,Dzheba,397901,248613,0.00172861,blast,,,,1,
0xa5e2BB97De3C62ca06F1A2293eB7E01C114e9a49,Zof,431423,80275,0.00172780,blast,,,,,
0xe4c3F04C276B74840865d90aA1A7409C13E6FEaE,Vel3vul,277363,1052623,0.00172258,blast,,,,,
0x1e40540f6EBA9Ae85CBF4486E18cf8461B162AF1,Rains,105082,90003,0.00171682,blast,,402,,,
0x4656AAF577615Ae1DdC33D4dBc023d6a0D902347,shrine,412517,167635,0.00170762,blast,,,,,
0x8858d0e88fA0B3C00353a0039DDb0f7b93Ec77eF,INK,26315,2568111,0.00167190,ronin,,,,,
0x0d02f5fCaB59373EC269a329b2a4C0ab34374A4A,WBT-Haoying,338572,574108,0.00166831,blast,,,,,
0x08bea5990446e20b8d3735C7F621335D87882CF6,visher,356712,286970,0.00165635,blast,,,,,16
0x9dbbC56DADf03d51dB04361D56B91b7f71feDce6,Andre,350927,235259,0.00162547,blast,,,,,20
0x75dd1a992d9C6EE862C0C8Aa98051a37a6F858FD,elduarduz,94097,144105,0.00162354,blast,3,,,28,
